Año,País,Misiones
1957,Estados Unidos,1
1957,Unión Soviética,3
1958,Estados Unidos,3
1958,Unión Soviética,0
1959,Estados Unidos,4
1959,Unión Soviética,4
1960,Estados Unidos,4
1960,Unión Soviética,1
1961,Estados Unidos,2
1961,Unión Soviética,4
1962,Estados Unidos,5
1962,Unión Soviética,1
1963,Estados Unidos,3
1963,Unión Soviética,2
1964,Estados Unidos,1
1964,Unión Soviética,1
1965,Estados Unidos,6
1965,Unión Soviética,1
1966,Estados Unidos,3
1966,Unión Soviética,3
1967,Estados Unidos,1
1967,Unión Soviética,2
1968,Estados Unidos,2
1968,Unión Soviética,1
1969,Estados Unidos,2
1969,Unión Soviética,1
1970,Estados Unidos,2
1970,Unión Soviética,3
1971,Estados Unidos,3
1971,Unión Soviética,5
1972,Estados Unidos,3
1972,Unión Soviética,0
1973,Estados Unidos,4
1973,Unión Soviética,0
1974,Estados Unidos,2
1974,Unión Soviética,1
1975,Estados Unidos,0
1975,Unión Soviética,1
1976,Estados Unidos,0
1976,Unión Soviética,0
1977,Estados Unidos,1
1977,Unión Soviética,0
1978,Estados Unidos,0
1978,Unión Soviética,0
1979,Estados Unidos,0
1979,Unión Soviética,0
1980,Estados Unidos,0
1980,Unión Soviética,0
1981,Estados Unidos,2
1981,Unión Soviética,0
1982,Estados Unidos,0
1982,Unión Soviética,0
1983,Estados Unidos,0
1983,Unión Soviética,0
1984,Estados Unidos,0
1984,Unión Soviética,0
1985,Estados Unidos,0
1985,Unión Soviética,1
1986,Estados Unidos,1
1986,Unión Soviética,1
1987,Estados Unidos,0
1987,Unión Soviética,1
1988,Estados Unidos,0
1988,Unión Soviética,1
